m_id,text,theme,concern
1,Vaccine unsafe because it is a bioweapon,1,1
7,The vaccine is unsafe poison,1,2
3,Bill Gates admits the vaccine is unsafe,1,3
4,The vaccine will make you gay,1,4
6,The vaccine makes you 5G compatible,1,5
2,The vaccine renders pregnancies risky,1,6
39,The vaccine causes Bell's palsy,1,7
47,The vaccine can cause autism,1,8
16,Vaccine injects a toxin in your bloodstream,2,1
18,The vaccine uses nanotechnology,2,2
21,The vaccine is gene therapy that activates a toxin in your body,2,3
17,The vaccine contains the virus,2,4
20,The mRNA COVID-19 Vaccine introduces the viral surface protein characteristics of SARS-COV 2 such that the body builds antibodies against it.  ,2,4
22,Test positive after both doses of the COVID-19 vaccine because the vaccine contains virus. ,2,4
44,The COVID-19 vaccine can cause COVID-19 because it contains the live virus.,2,4
41,The vaccine contains tissue from aborted fetuses,2,5
24,Homeopathic/ oriental medicine as alternatives to vaccine,3,1
26,Hydroxychloroquine as alternative to vaccine,3,3
25,Garlic as alternative to vaccine,3,4
27,Vitamins and Ivermectin as alternative to vaccine,3,"2,5"
11,Overwhelms the immune system,4,1
12,Overrides the immune system,4,2
13,Immune system attacks children's body,4,3
40,Immune system overreacts to COVID-19 after taking antibody-dependent COVID-19 vaccine,4,4
19,The vaccine is a satanic plan to microchip population,5,1
23,A strong immune system is all you need,5,2
34,Chances of surviving infection are 99.99%,5,3
14,People with severe allergies should not be vaccinated,5,4
31,No long-term study of side effects,6,1
32,No vaccine efficacy or safety data,6,2
10,Vaccine has not been tested for at least 5 years,6,3
46,The vaccine killed many people during testing,6,4
35,The vaccine does not protect against COVID-19 infection,7,1
28,Natural immunity last longer than vaccine-induced immunity,7,2
29,People better protected by immunity gained through infection then immunity gained through vaccination,7,3
30,Natural immunity is always the best way to become immune to diseases. ,7,3
9,Vaccine interacts with people's DNA,8,1
15,Vaccine replaces the genetic code with a synthetic one,8,2
42,More people die because of adverse effects of vaccine than from the virus,8,3
33,Moral exemption from an experimental vaccine with possible side effects worse than the effects of COVID-19 infection.  ,8,3
43,"There are severe side effects of the COVID-19 vaccines, worse than having the virus.",8,3
45,Vaccine increases risk for other illnesses,8,4
48,Vaccine should not be taken by those allergic to eggs,8,5
5,Aliens are allergic to the COVID-19 vaccine. ,8,5
38,Pharmaceutical companies conceal information about breakthroughs or reinfections ,9,1
37,The Federal government lied about vaccines to reduce the information about COVID-19 treatments,9,2
36,The Government conceals information about the safety of COVID-19 vaccines,9,3
8,The emergency authorization of the COVID-19 vaccines hide that it is unsafe and not understood. ,9,3
